,precision,recall,f1-score,support
goalpost,0.73,0.67,0.7,119
ball,0.68,0.47,0.56,162
robot,0.92,0.91,0.92,348
goalspot,0.7,0.53,0.6,96
centerspot,0.64,0.49,0.55,37
micro avg,0.82,0.71,0.76,762
macro avg,0.74,0.61,0.67,762
weighted avg,0.8,0.71,0.75,762
samples avg,0.82,0.75,0.75,762
