,precision,recall,f1-score,support
goalpost,0.83,0.65,0.73,119
ball,0.69,0.64,0.67,162
robot,0.93,0.94,0.94,348
goalspot,0.73,0.54,0.62,96
centerspot,0.68,0.51,0.58,37
micro avg,0.83,0.76,0.8,762
macro avg,0.77,0.66,0.71,762
weighted avg,0.83,0.76,0.79,762
samples avg,0.85,0.8,0.79,762
