,precision,recall,f1-score,support
goalpost,0.0,0.0,0.0,119
ball,0.68,0.29,0.41,162
robot,0.88,0.94,0.91,348
goalspot,0.0,0.0,0.0,96
centerspot,0.0,0.0,0.0,37
micro avg,0.85,0.49,0.62,762
macro avg,0.31,0.25,0.26,762
weighted avg,0.55,0.49,0.5,762
samples avg,0.85,0.58,0.65,762
