batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,class_out,activation,dropout,seed,best_mae_score,best_r2_score
16,6,7,3,0.0001,512,256,32,relu,0.2,42,0.023050740361213684,0.7617626190185547
16,6,7,3,0.0001,512,256,16,relu,0.2,555,0.022145619615912437,0.7741382122039795
