batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,activation,dropout,seed,best_mae_score,best_r2_score
16,5,7,3,0.0001,512,256,relu,0.2,42,0.09576450288295746,0.6633809804916382
16,5,7,3,0.0001,512,256,relu,0.2,555,0.08340156078338623,0.7282896041870117
