batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,activation,dropout,seed,best_mae_score,best_r2_score
16,5,7,3,0.0001,256,0,relu,0.2,42,0.06611958146095276,0.8233855366706848
16,5,7,3,0.0001,256,0,relu,0.2,555,0.06433268636465073,0.8263424634933472
