batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,seed,best_mae_score
16,5,7,3,0.0001,256,256,7,0.023474210873246193
16,5,7,3,0.0001,256,256,42,0.02361554652452469
