batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,seed,best_mae_score,best_r2_score
16,5,7,3,0.0001,512,256,7,0.0219514649361372,0.6981773376464844
16,5,7,3,0.0001,512,256,42,0.022042520344257355,0.6644646525382996
16,5,7,3,0.0001,512,256,555,0.021767238155007362,0.6976378560066223
