,precision,recall,f1-score,support
goalpost,0.8,0.59,0.68,119
ball,0.88,0.58,0.7,162
robot,0.96,0.91,0.94,348
goalspot,0.73,0.61,0.67,96
centerspot,0.65,0.59,0.62,37
micro avg,0.88,0.74,0.8,762
macro avg,0.8,0.66,0.72,762
weighted avg,0.87,0.74,0.8,762
samples avg,0.89,0.79,0.81,762
