,precision,recall,f1-score,support
goalpost,0.74,0.66,0.7,119
ball,0.87,0.65,0.75,162
robot,0.93,0.93,0.93,348
goalspot,0.69,0.75,0.72,96
centerspot,0.5,0.7,0.58,37
micro avg,0.83,0.79,0.81,762
macro avg,0.75,0.74,0.73,762
weighted avg,0.84,0.79,0.81,762
samples avg,0.85,0.83,0.81,762
