,precision,recall,f1-score,support
goalpost,0.91,0.99,0.95,156
ball,0.98,0.95,0.96,128
robot,1.0,0.98,0.99,677
goalspot,0.91,0.88,0.9,94
centerspot,0.69,0.79,0.74,39
accuracy,0.96,0.96,0.96,0
macro avg,0.9,0.92,0.91,1094
weighted avg,0.96,0.96,0.96,1094
