,precision,recall,f1-score,support
goalpost,0.98,0.99,0.98,156
ball,0.99,0.89,0.94,128
robot,0.98,1.0,0.99,677
goalspot,0.85,0.8,0.82,94
centerspot,0.58,0.64,0.61,39
accuracy,0.95,0.95,0.95,0
macro avg,0.88,0.86,0.87,1094
weighted avg,0.95,0.95,0.95,1094
