,precision,recall,f1-score,support
goalpost,0.85,0.89,0.87,161
ball,0.79,0.86,0.82,125
robot,0.99,0.95,0.97,650
goalspot,0.84,0.96,0.89,106
centerspot,0.88,0.73,0.8,52
accuracy,0.92,0.92,0.92,0
macro avg,0.87,0.88,0.87,1094
weighted avg,0.92,0.92,0.92,1094
