,precision,recall,f1-score,support
goalpost,0.96,0.85,0.9,161
ball,0.84,0.94,0.89,125
robot,0.98,0.98,0.98,650
goalspot,0.83,0.98,0.9,106
centerspot,0.82,0.6,0.69,52
accuracy,0.94,0.94,0.94,0
macro avg,0.89,0.87,0.87,1094
weighted avg,0.94,0.94,0.94,1094
