,precision,recall,f1-score,support
goalpost,0.97,0.82,0.89,161
ball,0.87,0.94,0.9,125
robot,0.98,0.98,0.98,650
goalspot,0.85,0.98,0.91,106
centerspot,0.88,0.58,0.7,52
micro avg,0.95,0.93,0.94,1094
macro avg,0.91,0.86,0.87,1094
weighted avg,0.95,0.93,0.94,1094
samples avg,0.93,0.93,0.93,1094
