,precision,recall,f1-score,support
goalpost,0.98,0.98,0.98,156
ball,0.89,0.96,0.92,128
robot,0.99,0.98,0.99,677
goalspot,0.85,0.95,0.89,94
centerspot,0.87,0.67,0.75,39
accuracy,0.96,0.96,0.96,0
macro avg,0.92,0.91,0.91,1094
weighted avg,0.96,0.96,0.96,1094
