,precision,recall,f1-score,support
goalpost,0.87,0.89,0.88,161
ball,0.82,0.82,0.82,125
robot,0.99,0.94,0.96,650
goalspot,0.85,0.93,0.89,106
centerspot,0.95,0.69,0.8,52
micro avg,0.93,0.91,0.92,1094
macro avg,0.9,0.86,0.87,1094
weighted avg,0.94,0.91,0.92,1094
samples avg,0.91,0.91,0.91,1094
