,precision,recall,f1-score,support
goalpost,0.79,0.81,0.8,119
ball,0.88,0.82,0.85,162
robot,0.97,0.94,0.96,348
goalspot,0.84,0.74,0.78,96
centerspot,0.72,0.7,0.71,37
micro avg,0.89,0.86,0.88,762
macro avg,0.84,0.8,0.82,762
weighted avg,0.89,0.86,0.88,762
samples avg,0.91,0.89,0.88,762
