,precision,recall,f1-score,support
goalpost,0.82,0.79,0.81,119
ball,0.87,0.7,0.77,162
robot,0.92,0.96,0.94,348
goalspot,0.78,0.84,0.81,96
centerspot,0.74,0.7,0.72,37
micro avg,0.87,0.85,0.86,762
macro avg,0.83,0.8,0.81,762
weighted avg,0.87,0.85,0.86,762
samples avg,0.89,0.88,0.86,762
