,precision,recall,f1-score,support
goalpost,0.78,0.78,0.78,119
ball,0.86,0.9,0.88,162
robot,0.95,0.93,0.94,348
goalspot,0.92,0.8,0.86,96
centerspot,0.62,0.7,0.66,37
micro avg,0.88,0.87,0.88,762
macro avg,0.82,0.82,0.82,762
weighted avg,0.88,0.87,0.88,762
samples avg,0.9,0.89,0.88,762
