,precision,recall,f1-score,support
goalpost,0.81,0.78,0.79,119
ball,0.94,0.75,0.83,162
robot,0.94,0.97,0.95,348
goalspot,0.72,0.76,0.74,96
centerspot,0.72,0.7,0.71,37
micro avg,0.88,0.85,0.87,762
macro avg,0.83,0.79,0.81,762
weighted avg,0.88,0.85,0.86,762
samples avg,0.9,0.88,0.87,762
