,precision,recall,f1-score,support
goalpost,0.82,0.66,0.73,119
ball,0.81,0.75,0.78,162
robot,0.96,0.93,0.94,348
goalspot,0.79,0.7,0.74,96
centerspot,0.66,0.62,0.64,37
micro avg,0.87,0.81,0.84,762
macro avg,0.81,0.73,0.77,762
weighted avg,0.87,0.81,0.84,762
samples avg,0.88,0.84,0.84,762
