,precision,recall,f1-score,support
goalpost,0.77,0.86,0.81,119
ball,0.91,0.8,0.85,162
robot,0.96,0.94,0.95,348
goalspot,0.78,0.76,0.77,96
centerspot,0.71,0.65,0.68,37
micro avg,0.88,0.86,0.87,762
macro avg,0.82,0.8,0.81,762
weighted avg,0.88,0.86,0.87,762
samples avg,0.89,0.88,0.87,762
