batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,activation,dropout,loss,mae_Score,R2_Score,R2_gp,R2_b,R2_r,R2_gs,R2_cs,mae_gp,mae_b,mae_r,mae_gs,mae_cs
16,3,7,3,0.0001,256,0,relu,0.2,mae,0.11024240404367447,0.5623346567153931,0.46254652738571167,0.4070287346839905,0.7303149700164795,0.2432677149772644,0.6518412828445435,0.13524380326271057,0.13181664049625397,0.0822836235165596,0.15668287873268127,0.0944688469171524
16,3,7,3,0.0001,256,0,relu,0.2,mse,0.11665350943803787,0.5722212791442871,0.44098764657974243,0.4482451379299164,0.7568130493164062,0.21666452288627625,0.5635490417480469,0.14344264566898346,0.1337083876132965,0.08463119715452194,0.17578288912773132,0.11465472728013992
16,3,7,3,0.0001,256,256,relu,0.2,mae,0.10232597589492798,0.6010012626647949,0.46648529171943665,0.4777185916900635,0.7674342393875122,0.31630104780197144,0.5985260605812073,0.13300123810768127,0.12020324170589447,0.07376793771982193,0.14099277555942535,0.10377546399831772
16,3,7,3,0.0001,256,256,relu,0.2,mse,0.11259804666042328,0.5839417576789856,0.43665412068367004,0.4188506603240967,0.7615094184875488,0.4030733108520508,0.39510419964790344,0.14422248303890228,0.13548126816749573,0.08090046793222427,0.1421322226524353,0.14156995713710785
16,3,7,2,0.0001,256,0,relu,0.2,mae,0.11568984389305115,0.5281078219413757,0.47038793563842773,0.24457061290740967,0.7252907752990723,0.191051185131073,0.6332608461380005,0.13307569921016693,0.15600743889808655,0.08365272730588913,0.1605345904827118,0.10030040889978409
16,3,7,2,0.0001,256,0,relu,0.2,mse,0.11594447493553162,0.57581627368927,0.4422808587551117,0.46839553117752075,0.7539777755737305,0.22277620434761047,0.5889214277267456,0.14316679537296295,0.13180777430534363,0.08511914312839508,0.1736750453710556,0.10982616245746613
16,3,7,2,0.0001,256,256,relu,0.2,mae,0.10415279865264893,0.5986834168434143,0.46378737688064575,0.41941937804222107,0.7816877365112305,0.2959325611591339,0.6045628786087036,0.13425736129283905,0.12863309681415558,0.07228155434131622,0.14862775802612305,0.10063301771879196
16,3,7,2,0.0001,256,256,relu,0.2,mse,0.10978585481643677,0.6029537916183472,0.5442628264427185,0.4659452736377716,0.7900177240371704,0.21628648042678833,0.4038335084915161,0.12074020504951477,0.13147464394569397,0.0754069983959198,0.17727789282798767,0.14032454788684845
16,5,7,3,0.0001,256,0,relu,0.2,mae,0.05867116525769234,0.8346843123435974,0.8232251405715942,0.6400867104530334,0.8968193531036377,0.8301868438720703,0.9003709554672241,0.06848791986703873,0.09471723437309265,0.040872059762477875,0.06508873403072357,0.04808996245265007
16,5,7,3,0.0001,256,0,relu,0.2,mse,0.06433268636465073,0.8263424634933472,0.8208937644958496,0.6855042576789856,0.8829569220542908,0.7710609436035156,0.8684953451156616,0.07030966132879257,0.08780235797166824,0.04818924143910408,0.08470743894577026,0.05982254073023796
16,5,7,3,0.0001,256,256,relu,0.2,mae,0.05380307137966156,0.8439541459083557,0.8392881155014038,0.7779207229614258,0.8823443055152893,0.753934383392334,0.8768901824951172,0.06535851955413818,0.06470488011837006,0.03864270821213722,0.07831521332263947,0.05507485568523407
16,5,7,3,0.0001,256,256,relu,0.2,mse,0.06714344024658203,0.8140848875045776,0.8073939085006714,0.6646538972854614,0.8746403455734253,0.7368331551551819,0.8855326771736145,0.07618449628353119,0.09502443671226501,0.04902377724647522,0.08880189061164856,0.053169142454862595
16,5,7,2,0.0001,256,0,relu,0.2,mae,0.05643342062830925,0.8443137407302856,0.8476599454879761,0.6992466449737549,0.8961650729179382,0.778419017791748,0.9120811223983765,0.06483757495880127,0.0830620676279068,0.03965715691447258,0.07558713853359222,0.04278389737010002
16,5,7,2,0.0001,256,0,relu,0.2,mse,0.06691339612007141,0.8165141344070435,0.8212119340896606,0.644844114780426,0.8747077584266663,0.7737293839454651,0.9042310118675232,0.07534050941467285,0.09549286961555481,0.050188031047582626,0.08546864986419678,0.04796796292066574
16,5,7,2,0.0001,256,256,relu,0.2,mae,0.05296128988265991,0.8452856540679932,0.8207738399505615,0.7573317289352417,0.8866060972213745,0.7924457788467407,0.9085668325424194,0.06809421628713608,0.06666399538516998,0.03784233704209328,0.07312542200088501,0.0443614199757576
16,5,7,2,0.0001,256,256,relu,0.2,mse,0.06422489881515503,0.8120139837265015,0.7789998054504395,0.667146623134613,0.8712519407272339,0.7576936483383179,0.8962187767028809,0.08009389787912369,0.09031663835048676,0.04655349254608154,0.07828117907047272,0.04910043254494667
