batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,activation,dropout,mae_Score,R2_Score,R2_gp,R2_b,R2_r,R2_gs,R2_cs,mae_gp,mae_b,mae_r,mae_gs,mae_cs
16,5,7,3,0.0001,256,0,relu,0.2,0.06433268636465073,0.8263424634933472,0.8208937644958496,0.6855042576789856,0.8829569220542908,0.7710609436035156,0.8684953451156616,0.07030966132879257,0.08780235797166824,0.04818924143910408,0.08470743894577026,0.05982254073023796
16,5,7,3,0.0001,256,256,relu,0.2,0.06714344024658203,0.8140848875045776,0.8073939085006714,0.6646538972854614,0.8746403455734253,0.7368331551551819,0.8855326771736145,0.07618449628353119,0.09502443671226501,0.04902377724647522,0.08880189061164856,0.053169142454862595
16,5,3,3,0.0001,256,0,relu,0.2,0.10075786709785461,0.6441115736961365,0.4429413080215454,0.5512135028839111,0.8387812376022339,0.4465453028678894,0.29574596881866455,0.14035722613334656,0.11970013380050659,0.06397144496440887,0.13337400555610657,0.153609499335289
16,5,3,3,0.0001,256,256,relu,0.2,0.10807359218597412,0.6002891659736633,0.4449145197868347,0.5053487420082092,0.8089722990989685,0.28051936626434326,0.25679653882980347,0.1401539444923401,0.12185469269752502,0.06844640523195267,0.16737176477909088,0.16282811760902405
