batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,class_out,activation,dropout,mae_Score,R2_Score
16,5,7,3,0.0001,512,256,16,relu,0.0,0.021646980196237564,0.6699401140213013
16,5,7,3,0.0001,512,256,16,relu,0.1,0.022792257368564606,0.5952362418174744
16,5,7,3,0.0001,512,256,16,relu,0.2,0.021068748086690903,0.6912407279014587
16,5,7,3,0.0001,512,256,16,elu,0.0,0.025964519008994102,0.5763523578643799
16,5,7,3,0.0001,512,256,16,elu,0.1,0.02545522153377533,0.5785291194915771
16,5,7,3,0.0001,512,256,16,elu,0.2,0.024199211969971657,0.5892982482910156
16,5,7,3,0.0001,512,256,32,relu,0.0,0.0219514649361372,0.6981773376464844
16,5,7,3,0.0001,512,256,32,relu,0.1,0.021068358793854713,0.6912738680839539
16,5,7,3,0.0001,512,256,32,relu,0.2,0.021598422899842262,0.7075770497322083
16,5,7,3,0.0001,512,256,32,elu,0.0,0.025501472875475883,0.5827473998069763
16,5,7,3,0.0001,512,256,32,elu,0.1,0.026036692783236504,0.5784293413162231
16,5,7,3,0.0001,512,256,32,elu,0.2,0.02376067265868187,0.6794138550758362
16,5,7,3,0.0001,512,256,64,relu,0.0,0.022718938067555428,0.6669794917106628
16,5,7,3,0.0001,512,256,64,relu,0.1,0.02129470184445381,0.7007038593292236
16,5,7,3,0.0001,512,256,64,relu,0.2,0.02169766090810299,0.6947088241577148
16,5,7,3,0.0001,512,256,64,elu,0.0,0.02388606034219265,0.6739513874053955
16,5,7,3,0.0001,512,256,64,elu,0.1,0.023069746792316437,0.6867163181304932
16,5,7,3,0.0001,512,256,64,elu,0.2,0.022758953273296356,0.6964576244354248
