batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,activation,dropout,mae_Score,R2_Score
16,5,7,3,0.0001,512,256,relu,0.2,0.09576450288295746,0.6633809804916382
16,5,7,3,1e-05,512,256,relu,0.2,0.14575304090976715,0.3998371362686157
