batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,class_out,activation,dropout,mae_Score,R2_Score
16,6,7,3,0.0001,512,256,16,relu,0.0,0.024937445297837257,0.7533913850784302
16,6,7,3,0.0001,512,256,16,relu,0.1,0.026642339304089546,0.7147815227508545
16,6,7,3,0.0001,512,256,16,relu,0.2,0.024556614458560944,0.7461426258087158
16,6,7,3,0.0001,512,256,32,relu,0.0,0.024384140968322754,0.7473543286323547
16,6,7,3,0.0001,512,256,32,relu,0.1,0.02453286200761795,0.754225492477417
16,6,7,3,0.0001,512,256,32,relu,0.2,0.023050740361213684,0.7617626190185547
16,6,7,3,0.0001,512,256,64,relu,0.0,0.02336578071117401,0.7749400734901428
16,6,7,3,0.0001,512,256,64,relu,0.1,0.02495003491640091,0.7426654100418091
16,6,7,3,0.0001,512,256,64,relu,0.2,0.023182721808552742,0.7535520195960999
16,5,7,3,0.0001,512,256,16,relu,0.0,0.025175802409648895,0.7254846096038818
16,5,7,3,0.0001,512,256,16,relu,0.1,0.02606024034321308,0.7236197590827942
16,5,7,3,0.0001,512,256,16,relu,0.2,0.024433249607682228,0.7225341200828552
16,5,7,3,0.0001,512,256,32,relu,0.0,0.02541092410683632,0.7516712546348572
16,5,7,3,0.0001,512,256,32,relu,0.1,0.025448499247431755,0.7244065403938293
16,5,7,3,0.0001,512,256,32,relu,0.2,0.025260884314775467,0.7574685215950012
16,5,7,3,0.0001,512,256,64,relu,0.0,0.025325749069452286,0.7359184622764587
16,5,7,3,0.0001,512,256,64,relu,0.1,0.02411455102264881,0.7333109974861145
16,5,7,3,0.0001,512,256,64,relu,0.2,0.024675361812114716,0.7324908375740051
