batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,mae_Score,R2_Score
16,4,7,3,0.0001,256,256,0.02674218639731407,0.5781383514404297
16,4,7,3,0.0001,512,256,0.025528237223625183,0.6377415657043457
16,4,7,3,0.001,256,256,0.13414011895656586,-0.6127225160598755
16,4,7,3,0.001,512,256,0.11722898483276367,-0.3367108106613159
16,4,7,3,1e-05,256,256,0.07415587455034256,0.021595869213342667
16,4,7,3,1e-05,512,256,0.07163450121879578,0.03395460546016693
16,4,3,3,0.0001,256,256,0.03266582265496254,0.6246126890182495
16,4,3,3,0.0001,512,256,0.032162055373191833,0.639525830745697
16,4,3,3,0.001,256,256,0.13414011895656586,-0.6682780385017395
16,4,3,3,0.001,512,256,0.03299694135785103,0.6734821200370789
16,4,3,3,1e-05,256,256,0.0727011039853096,0.025068216025829315
16,4,3,3,1e-05,512,256,0.0644177496433258,0.10070666670799255
16,5,7,3,0.0001,256,256,0.02361554652452469,0.5960709452629089
16,5,7,3,0.0001,512,256,0.022042520344257355,0.6644646525382996
16,5,7,3,0.001,256,256,0.1304824948310852,-0.5688722133636475
16,5,7,3,0.001,512,256,0.11722898483276367,-0.3367108106613159
16,5,7,3,1e-05,256,256,0.07354530692100525,0.022268924862146378
16,5,7,3,1e-05,512,256,0.07023945450782776,0.038946013897657394
16,5,3,3,0.0001,256,256,0.029619911685585976,0.6432998776435852
16,5,3,3,0.0001,512,256,0.028980396687984467,0.6403894424438477
16,5,3,3,0.001,256,256,0.11722898483276367,-0.3367108106613159
16,5,3,3,0.001,512,256,0.13414011895656586,-0.6127225160598755
16,5,3,3,1e-05,256,256,0.07339727133512497,0.022129826247692108
16,5,3,3,1e-05,512,256,0.07136945426464081,0.05216795951128006
