batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,activation,dropout,loss,mae_Score,R2_Score,R2_gp,R2_b,R2_r,R2_gs,R2_cs,mae_gp,mae_b,mae_r,mae_gs,mae_cs
16,3,7,3,0.0001,256,0,relu,0.2,mae,0.11311362683773041,0.5367550849914551,0.6126508712768555,0.24257242679595947,0.7223653197288513,0.10044747591018677,0.588015079498291,0.1069636270403862,0.1565702259540558,0.08400354534387589,0.16946621239185333,0.10720255970954895
16,3,7,3,0.0001,256,0,relu,0.2,mse,0.11152292788028717,0.5987328886985779,0.6790926456451416,0.42442867159843445,0.7351221442222595,0.22746583819389343,0.5815198421478271,0.10121717303991318,0.13929486274719238,0.08693800866603851,0.17271113395690918,0.11924998462200165
16,3,7,3,0.0001,256,256,relu,0.2,mae,0.11243918538093567,0.5529098510742188,0.45332029461860657,0.4397355914115906,0.7604525089263916,0.1607063114643097,0.29095157980918884,0.13508981466293335,0.13062751293182373,0.07810225337743759,0.16506345570087433,0.1525430679321289
16,3,7,3,0.0001,256,256,relu,0.2,mse,0.1042141392827034,0.6308573484420776,0.6418319940567017,0.47317421436309814,0.7349697351455688,0.43472105264663696,0.6246973276138306,0.1075606495141983,0.12916071712970734,0.08702056109905243,0.12782764434814453,0.10407302528619766
16,3,7,2,0.0001,256,0,relu,0.2,mae,0.11018185317516327,0.5568298101425171,0.5733257532119751,0.3509323298931122,0.7205758690834045,0.2021222710609436,0.5534806847572327,0.11231090128421783,0.14450235664844513,0.08215142041444778,0.15922123193740845,0.11622974276542664
16,3,7,2,0.0001,256,0,relu,0.2,mse,0.1081031858921051,0.622596263885498,0.7457010746002197,0.4345661401748657,0.7515444755554199,0.22295254468917847,0.603980302810669,0.09246113151311874,0.13844507932662964,0.08448202908039093,0.16987086832523346,0.11411656439304352
16,3,7,2,0.0001,256,256,relu,0.2,mae,0.10986720025539398,0.5719561576843262,0.5862689018249512,0.39041078090667725,0.7715736627578735,0.16114982962608337,0.25813257694244385,0.1149238795042038,0.13674604892730713,0.07580523192882538,0.16924311220645905,0.15681487321853638
16,3,7,2,0.0001,256,256,relu,0.2,mse,0.11217090487480164,0.5878944993019104,0.6644296646118164,0.4025183916091919,0.726335883140564,0.22010669112205505,0.5713342428207397,0.10484399646520615,0.13375969231128693,0.08874756097793579,0.17646192014217377,0.11407168209552765
16,5,7,3,0.0001,256,0,relu,0.2,mae,0.05585751682519913,0.8492636680603027,0.831108808517456,0.7440763711929321,0.8958702087402344,0.7942289113998413,0.8953225612640381,0.0659014955163002,0.07117811590433121,0.042481157928705215,0.07348605990409851,0.04847648739814758
16,5,7,3,0.0001,256,0,relu,0.2,mse,0.06611958146095276,0.8233855366706848,0.8146926760673523,0.6817819476127625,0.8763328194618225,0.7875806093215942,0.875597357749939,0.07157368957996368,0.09017138183116913,0.052309975028038025,0.07857297360897064,0.059861090034246445
16,5,7,3,0.0001,256,256,relu,0.2,mae,0.0570124089717865,0.8260895609855652,0.7861340045928955,0.7190154194831848,0.8899128437042236,0.729065477848053,0.926449716091156,0.07702267169952393,0.07676228880882263,0.037498489022254944,0.08192163705825806,0.04048541933298111
16,5,7,3,0.0001,256,256,relu,0.2,mse,0.06667472422122955,0.810317873954773,0.8140862584114075,0.6280719041824341,0.8817524909973145,0.7006574869155884,0.9186899065971375,0.07285599410533905,0.09631338715553284,0.048767268657684326,0.09400156140327454,0.04112716019153595
16,5,7,2,0.0001,256,0,relu,0.2,mae,0.056796252727508545,0.8411890268325806,0.8202404975891113,0.739848256111145,0.9027767181396484,0.7304531931877136,0.8937302827835083,0.07169385254383087,0.07125842571258545,0.0391942523419857,0.08557592332363129,0.04761607199907303
16,5,7,2,0.0001,256,0,relu,0.2,mse,0.06178410351276398,0.8351209759712219,0.8267334699630737,0.7302441596984863,0.8782966136932373,0.7794040441513062,0.9114024639129639,0.07063630223274231,0.0757463276386261,0.049838677048683167,0.0809929296374321,0.04693794995546341
16,5,7,2,0.0001,256,256,relu,0.2,mae,0.05330926552414894,0.8433777093887329,0.8265470862388611,0.7146245241165161,0.8949398994445801,0.800486147403717,0.9039252996444702,0.06360024213790894,0.0780673623085022,0.03571002930402756,0.07212774455547333,0.04747268185019493
16,5,7,2,0.0001,256,256,relu,0.2,mse,0.06498702615499496,0.8275501132011414,0.8207356929779053,0.7011135816574097,0.8755598664283752,0.78476881980896,0.8636014461517334,0.06999628245830536,0.0882798358798027,0.05131512135267258,0.0786236971616745,0.058654673397541046
