batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,class_out,activation,dropout,mae_Score,R2_Score
16,5,7,3,0.0001,512,256,16,relu,0.0,0.02273697592318058,0.5988062024116516
16,5,7,3,0.0001,512,256,16,relu,0.1,0.021708153188228607,0.6832702159881592
16,5,7,3,0.0001,512,256,16,relu,0.2,0.022161072120070457,0.690765917301178
16,5,7,3,0.0001,512,256,16,elu,0.0,0.0251621101051569,0.5869124531745911
16,5,7,3,0.0001,512,256,16,elu,0.1,0.02630119025707245,0.5799623131752014
16,5,7,3,0.0001,512,256,16,elu,0.2,0.024235449731349945,0.640403151512146
16,5,7,3,0.0001,512,256,32,relu,0.0,0.022042520344257355,0.6644646525382996
16,5,7,3,0.0001,512,256,32,relu,0.1,0.021104561164975166,0.6961877346038818
16,5,7,3,0.0001,512,256,32,relu,0.2,0.02232748083770275,0.6843729615211487
16,5,7,3,0.0001,512,256,32,elu,0.0,0.025155778974294662,0.5855687260627747
16,5,7,3,0.0001,512,256,32,elu,0.1,0.026621928438544273,0.5747441053390503
16,5,7,3,0.0001,512,256,32,elu,0.2,0.025647737085819244,0.6002519130706787
16,5,7,3,0.0001,512,256,64,relu,0.0,0.02255149371922016,0.6893066763877869
16,5,7,3,0.0001,512,256,64,relu,0.1,0.021628407761454582,0.6954049468040466
16,5,7,3,0.0001,512,256,64,relu,0.2,0.022176215425133705,0.6945472359657288
16,5,7,3,0.0001,512,256,64,elu,0.0,0.024617664515972137,0.6727792620658875
16,5,7,3,0.0001,512,256,64,elu,0.1,0.022785281762480736,0.6956239342689514
16,5,7,3,0.0001,512,256,64,elu,0.2,0.023910047486424446,0.6915045380592346
