batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,mae_Score,R2_Score
16,4,7,3,0.0001,256,256,0.0247346218675375,0.6659987568855286
16,4,7,3,0.0001,512,256,0.02460688166320324,0.6668435335159302
16,4,7,3,0.001,256,256,0.13414011895656586,-0.6127225160598755
16,4,7,3,0.001,512,256,0.1304824948310852,-0.5688722133636475
16,4,7,3,1e-05,256,256,0.07403711974620819,0.022651884704828262
16,4,7,3,1e-05,512,256,0.07136966288089752,0.032995183020830154
16,4,3,3,0.0001,256,256,0.032881975173950195,0.6192677617073059
16,4,3,3,0.0001,512,256,0.03265289217233658,0.6379331350326538
16,4,3,3,0.001,256,256,0.11722885072231293,-0.44782012701034546
16,4,3,3,0.001,512,256,0.11722898483276367,-0.4478219449520111
16,4,3,3,1e-05,256,256,0.0737459808588028,0.022091051563620567
16,4,3,3,1e-05,512,256,0.06420490890741348,0.14580586552619934
16,5,7,3,0.0001,256,256,0.023474210873246193,0.595098614692688
16,5,7,3,0.0001,512,256,0.0219514649361372,0.6981773376464844
16,5,7,3,0.001,256,256,0.13414011895656586,-0.6127225160598755
16,5,7,3,0.001,512,256,0.13414011895656586,-0.6127225160598755
16,5,7,3,1e-05,256,256,0.07207468152046204,0.030134625732898712
16,5,7,3,1e-05,512,256,0.06917126476764679,0.044570982456207275
16,5,3,3,0.0001,256,256,0.027771955356001854,0.6579681634902954
16,5,3,3,0.0001,512,256,0.026454884558916092,0.6669101715087891
16,5,3,3,0.001,256,256,0.11722898483276367,-0.3367108106613159
16,5,3,3,0.001,512,256,0.1473936289548874,-0.844883918762207
16,5,3,3,1e-05,256,256,0.07365086674690247,0.02402893640100956
16,5,3,3,1e-05,512,256,0.07187224924564362,0.031076669692993164
