batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,4,7,2,0.0001,128,128,0.7282,0.6792,0.9298,0.6974,0.6154,0.73
16,5,3,3,0.001,128,128,0.7922,0.6008,0.9299,0.6995,0.597,0.7239
16,5,7,2,0.001,128,128,0.6103,0.6667,0.9231,0.7176,0.6667,0.7169
64,5,7,2,0.001,128,128,0.7331,0.6797,0.9352,0.5839,0.597,0.7058
16,4,7,2,0.001,128,128,0.6816,0.692,0.9354,0.6012,0.5846,0.699
16,5,7,3,0.0001,128,128,0.7299,0.7365,0.9333,0.663,0.4231,0.6972
64,5,7,2,0.0001,128,128,0.7055,0.5678,0.9222,0.6872,0.5806,0.6927
64,5,3,3,0.001,128,128,0.7257,0.5714,0.9395,0.6706,0.4923,0.6799
16,5,3,3,0.0001,128,128,0.7711,0.5591,0.925,0.6439,0.5,0.6798
16,5,3,2,0.0001,128,128,0.6966,0.5827,0.9237,0.6728,0.4643,0.668
16,4,7,3,0.0001,128,128,0.7042,0.6023,0.9275,0.6701,0.4,0.6608
64,5,7,3,0.0001,128,128,0.6983,0.6041,0.9309,0.5977,0.4643,0.6591
16,4,7,3,0.001,128,128,0.6722,0.5172,0.9397,0.5366,0.5714,0.6474
16,5,3,2,0.001,128,128,0.7391,0.5508,0.9266,0.6595,0.3265,0.6405
64,4,7,2,0.001,128,128,0.6722,0.569,0.9389,0.5349,0.4789,0.6388
64,5,3,2,0.001,128,128,0.6897,0.4828,0.9358,0.4571,0.5079,0.6147
16,5,7,2,0.0001,128,128,0.6699,0.6171,0.9313,0.5799,0.2174,0.6031
64,4,7,3,0.0001,128,128,0.6114,0.4685,0.916,0.491,0.44,0.5854
64,4,7,2,0.0001,128,128,0.6368,0.4393,0.9291,0.5561,0.1905,0.5503
16,4,3,2,0.0001,128,128,0.6335,0.4019,0.9212,0.3791,0.3111,0.5293
64,5,3,3,0.0001,128,128,0.6146,0.4783,0.9271,0.2414,0.3333,0.5189
16,4,3,2,0.001,128,128,0.4471,0.556,0.9337,0.4276,0.2222,0.5173
64,5,3,2,0.0001,128,128,0.596,0.4675,0.919,0.2087,0.375,0.5132
16,4,3,3,0.001,128,128,0.4541,0.4957,0.9364,0.3562,0.3111,0.5107
16,4,3,3,0.0001,128,128,0.5905,0.3774,0.9184,0.36,0.2326,0.4958
64,4,3,3,0.001,128,128,0.5933,0.4895,0.9252,0.1682,0.2326,0.4817
64,4,3,2,0.001,128,128,0.5196,0.4395,0.925,0.0594,0.3111,0.4509
64,4,3,2,0.0001,128,128,0.4641,0.4797,0.9175,0.098,0.1,0.4119
64,4,3,3,0.0001,128,128,0.4667,0.4896,0.9192,0.0784,0.1,0.4108
16,5,7,3,0.001,128,128,0.0,0.4737,0.9252,0.0,0.0,0.2798
64,5,7,3,0.001,128,128,0.0,0.4762,0.9157,0.0,0.0,0.2784
64,4,7,3,0.001,128,128,0.0,0.0,0.8821,0.0,0.0,0.1764
