batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,4,7,3,0.001,128,128,0.7948717948717948,0.8316151202749141,0.9546742209631728,0.7411167512690355,0.7123287671232876,0.806921330900441
16,5,7,3,0.001,128,128,0.7704280155642024,0.784452296819788,0.9560283687943264,0.7219512195121951,0.6111111111111112,0.7687942023603246
16,5,7,3,0.0001,128,128,0.7758620689655172,0.7379310344827587,0.9374090247452692,0.72,0.4745762711864407,0.729155679875997
16,4,7,3,0.0001,128,128,0.7510548523206751,0.7032967032967034,0.927038626609442,0.7150259067357513,0.5,0.7192832177925144
