batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,5,7,3,0.001,128,128,0.7615384615384615,0.7601246105919003,0.9456066945606696,0.7486631016042781,0.6268656716417911,0.7685597079874201
16,4,7,3,0.001,128,128,0.759825327510917,0.7899686520376176,0.9391796322489392,0.686046511627907,0.6341463414634146,0.761833292977759
16,4,7,2,0.001,128,128,0.7478260869565218,0.7845659163987139,0.9426573426573428,0.6918918918918919,0.6197183098591549,0.7573319095527251
16,5,7,2,0.001,128,128,0.753968253968254,0.6962457337883959,0.9442896935933148,0.6923076923076923,0.6233766233766234,0.7420375994068561
16,5,7,3,0.0001,128,128,0.782608695652174,0.6666666666666666,0.9284712482468443,0.6798029556650246,0.6060606060606061,0.732722034458263
64,5,7,2,0.001,128,128,0.7419354838709677,0.7254237288135593,0.9387186629526464,0.6086956521739131,0.6451612903225806,0.7319869636267333
16,4,7,2,0.0001,128,128,0.7281553398058253,0.6792452830188679,0.9297752808988764,0.6974358974358974,0.6153846153846154,0.7299992833088165
64,5,7,3,0.0001,128,128,0.7490636704119851,0.7532467532467533,0.9259796806966618,0.6666666666666666,0.5483870967741935,0.7286687735592521
64,5,7,3,0.001,128,128,0.7294117647058823,0.7540983606557377,0.9386590584878745,0.5822784810126582,0.6363636363636364,0.7281622602451578
16,5,7,2,0.0001,128,128,0.6936936936936937,0.6617647058823529,0.9363507779349364,0.6703296703296703,0.6666666666666666,0.7257611029014639
16,5,3,3,0.001,128,128,0.792156862745098,0.6007905138339921,0.9298998569384836,0.6995073891625616,0.5970149253731343,0.7238739096106539
64,5,3,2,0.001,128,128,0.7372262773722628,0.622568093385214,0.9378531073446328,0.7075471698113207,0.6,0.721038929582686
16,5,7,2,0.001,128,128,0.6103286384976526,0.6666666666666666,0.9230769230769232,0.7176470588235294,0.6666666666666666,0.7168771907462876
16,4,7,2,0.0001,128,128,0.7489711934156379,0.6360153256704981,0.926896551724138,0.6736842105263158,0.59375,0.715863456267318
16,4,7,2,0.001,128,128,0.6723404255319149,0.6171875,0.9333333333333332,0.717391304347826,0.631578947368421,0.7143663021162991
16,5,7,2,0.001,128,128,0.753968253968254,0.7003610108303249,0.937950937950938,0.7255813953488373,0.4262295081967213,0.7088182212590151
64,5,7,3,0.0001,128,128,0.649746192893401,0.7034482758620689,0.9353507565337,0.6666666666666666,0.5862068965517241,0.7082837577015122
64,5,7,2,0.0001,128,128,0.7471698113207547,0.6666666666666666,0.9318497913769124,0.676923076923077,0.5185185185185185,0.7082255729611858
16,5,7,3,0.0001,128,128,0.7467811158798283,0.6172839506172839,0.9380281690140844,0.6285714285714286,0.6086956521739131,0.7078720632513077
64,5,7,2,0.001,128,128,0.7330677290836654,0.6797385620915033,0.9352112676056338,0.5838509316770186,0.5970149253731343,0.7057766831661911
64,5,7,3,0.001,128,128,0.7416666666666667,0.6756756756756757,0.9344490934449092,0.6091954022988506,0.5666666666666667,0.7055307009505537
16,4,7,3,0.001,128,128,0.7286821705426356,0.6015625,0.9307479224376732,0.631578947368421,0.6301369863013698,0.7045417053300198
64,4,7,3,0.0001,128,128,0.7317073170731707,0.6666666666666666,0.9297752808988764,0.625,0.5555555555555556,0.7017409640388539
64,4,7,2,0.001,128,128,0.7206477732793523,0.6643109540636042,0.9314285714285714,0.6461538461538462,0.5373134328358209,0.6999709155522389
16,4,7,2,0.001,128,128,0.6816143497757847,0.6920415224913494,0.9353932584269664,0.6012269938650306,0.5846153846153846,0.6989783018349032
16,5,7,3,0.0001,128,128,0.7298578199052133,0.7365269461077845,0.9333333333333332,0.6630434782608695,0.4230769230769231,0.6971677001368247
16,4,7,2,0.001,128,128,0.6819923371647509,0.6712328767123288,0.9255014326647564,0.6153846153846154,0.5757575757575758,0.6939737675368055
64,5,7,2,0.0001,128,128,0.7054545454545454,0.5677966101694916,0.9222222222222224,0.6872246696035242,0.5806451612903226,0.6926686417480211
16,4,7,3,0.0001,128,128,0.7755102040816326,0.5905511811023622,0.9314685314685316,0.6458333333333334,0.509090909090909,0.6904908318153538
16,5,7,3,0.001,128,128,0.7214611872146118,0.5931558935361216,0.935754189944134,0.6745562130177515,0.5263157894736842,0.6902486546372606
