batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,4,7,3,0.001,128,128,0.8095238095238095,0.8524590163934426,0.9478260869565216,0.7724867724867724,0.676056338028169,0.811670404677743
16,5,7,3,0.0001,128,128,0.7937743190661478,0.7911392405063291,0.9462989840348331,0.7692307692307693,0.6486486486486487,0.7898183922973456
16,5,7,3,0.001,128,128,0.7674418604651163,0.7882736156351792,0.9406657018813314,0.7916666666666666,0.6060606060606061,0.7788216901417798
16,4,7,3,0.0001,128,128,0.7508771929824561,0.7491166077738516,0.9271137026239068,0.6137566137566137,0.59375,0.7269228234273657
