batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,5,7,3,0.001,128,128,0.7711864406779662,0.7483443708609272,0.946629213483146,0.7176470588235294,0.6904761904761905,0.7748566548643518
16,4,7,3,0.001,128,128,0.7207207207207207,0.740983606557377,0.9423347398030942,0.7159090909090909,0.6233766233766234,0.7486649562733811
16,5,7,3,0.0001,128,128,0.7644444444444445,0.6925795053003534,0.9418439716312056,0.6347305389221557,0.6835443037974683,0.7434285528191256
16,4,7,3,0.0001,128,128,0.7435897435897436,0.7067137809187279,0.943884892086331,0.6511627906976745,0.625,0.7340702414584955
