batch_size,layer_number,kernel_dim,pool_dim,lr,fc1,fc2,f1_goalpost,f1_ball,f1_robot,f1_goalspot,f1_centerspot,f1_macro_avg
16,4,7,3,0.001,128,128,0.759825327510917,0.7899686520376176,0.9391796322489392,0.686046511627907,0.6341463414634146,0.761833292977759
16,4,7,2,0.001,128,128,0.7478260869565218,0.7845659163987139,0.9426573426573428,0.6918918918918919,0.6197183098591549,0.7573319095527251
16,5,7,2,0.001,128,128,0.753968253968254,0.6962457337883959,0.9442896935933148,0.6923076923076923,0.6233766233766234,0.7420375994068561
16,5,7,3,0.0001,128,128,0.782608695652174,0.6666666666666666,0.9284712482468443,0.6798029556650246,0.6060606060606061,0.732722034458263
64,5,7,3,0.0001,128,128,0.7490636704119851,0.7532467532467533,0.9259796806966618,0.6666666666666666,0.5483870967741935,0.7286687735592521
64,5,7,3,0.001,128,128,0.7294117647058823,0.7540983606557377,0.9386590584878745,0.5822784810126582,0.6363636363636364,0.7281622602451578
16,5,7,2,0.001,128,128,0.753968253968254,0.7003610108303249,0.937950937950938,0.7255813953488373,0.4262295081967213,0.7088182212590151
64,4,7,3,0.0001,128,128,0.7317073170731707,0.6666666666666666,0.9297752808988764,0.625,0.5555555555555556,0.7017409640388539
64,4,7,2,0.001,128,128,0.7206477732793523,0.6643109540636042,0.9314285714285714,0.6461538461538462,0.5373134328358209,0.6999709155522389
16,4,7,2,0.001,128,128,0.6819923371647509,0.6712328767123288,0.9255014326647564,0.6153846153846154,0.5757575757575758,0.6939737675368055
16,5,3,2,0.001,128,128,0.7166666666666667,0.5714285714285714,0.9390581717451524,0.5748502994011976,0.6388888888888888,0.6881785196260954
16,5,3,3,0.001,128,128,0.7563025210084033,0.60431654676259,0.9375866851595008,0.6178010471204188,0.5245901639344263,0.6881193927970679
16,5,7,2,0.0001,128,128,0.7096774193548387,0.599250936329588,0.9318801089918256,0.6090909090909091,0.5454545454545454,0.6790707838443415
64,5,7,3,0.0001,128,128,0.7008547008547008,0.6666666666666666,0.925035360678925,0.6820276497695853,0.4166666666666667,0.6782502089273088
64,5,7,2,0.001,128,128,0.7756653992395437,0.5185185185185185,0.9252873563218392,0.7019230769230769,0.4516129032258064,0.674601450845757
16,5,3,3,0.0001,128,128,0.773109243697479,0.5217391304347826,0.9296551724137933,0.6703910614525139,0.4727272727272727,0.6735243761451682
16,5,7,3,0.001,128,128,0.7160493827160493,0.6513409961685823,0.9287749287749288,0.5444444444444444,0.5151515151515151,0.671152253451104
16,5,3,2,0.0001,128,128,0.7729083665338645,0.5606694560669456,0.928374655647383,0.680628272251309,0.4,0.6685161500999004
64,5,7,2,0.001,128,128,0.7527675276752768,0.4888888888888889,0.9331514324693042,0.5647058823529412,0.5517241379310345,0.6582475738634891
16,4,3,3,0.001,128,128,0.7012987012987013,0.5910931174089069,0.930635838150289,0.6422018348623854,0.3666666666666666,0.6463792316773899
16,5,7,3,0.0001,128,128,0.6832740213523132,0.5795918367346938,0.9293785310734464,0.6390041493775933,0.392156862745098,0.644681080256629
64,5,7,2,0.0001,128,128,0.6538461538461539,0.6015625,0.913793103448276,0.5365853658536586,0.46875,0.6349074246296176
16,4,3,2,0.001,128,128,0.7206477732793523,0.5396825396825397,0.9302325581395348,0.5955056179775281,0.3673469387755102,0.630683085570893
64,4,7,3,0.001,128,128,0.6836363636363636,0.4587155963302752,0.9273743016759776,0.5301204819277109,0.5,0.6199693487140654
16,4,7,2,0.0001,128,128,0.7280701754385965,0.4484304932735426,0.9287671232876712,0.6285714285714286,0.3555555555555555,0.6178789552253589
64,4,3,3,0.001,128,128,0.7,0.5,0.9213161659513592,0.6054054054054054,0.3404255319148936,0.6134294206543316
64,4,7,3,0.0001,128,128,0.7137254901960784,0.5281385281385281,0.92524682651622,0.4057971014492754,0.4923076923076923,0.6130431277215589
64,5,7,2,0.0001,128,128,0.6825396825396826,0.4956521739130435,0.928374655647383,0.5670103092783505,0.391304347826087,0.6129762338409093
64,4,7,2,0.0001,128,128,0.6384615384615384,0.5679012345679012,0.9145299145299144,0.4523809523809524,0.4528301886792453,0.6052207657239104
64,4,7,2,0.0001,128,128,0.7112970711297071,0.4933920704845815,0.9243697478991596,0.4772727272727273,0.391304347826087,0.5995271929224526
16,4,7,3,0.001,128,128,0.6457399103139013,0.5944055944055944,0.9390070921985816,0.5384615384615384,0.28,0.5995228270759231
64,5,3,2,0.001,128,128,0.6798418972332015,0.5609756097560976,0.9187592319054652,0.4404761904761904,0.3846153846153846,0.5969336627972679
16,4,7,3,0.0001,128,128,0.6130268199233716,0.5194805194805194,0.9193776520509194,0.4827586206896552,0.4285714285714285,0.5926430081431788
64,5,3,2,0.0001,128,128,0.6367713004484304,0.4894514767932489,0.9318497913769124,0.4457831325301205,0.4583333333333333,0.5924378068964091
64,5,3,3,0.0001,128,128,0.6210045662100456,0.4978902953586498,0.9288702928870292,0.4597701149425287,0.4313725490196078,0.5877815636835722
64,4,3,2,0.001,128,128,0.5919282511210763,0.4147465437788018,0.9262865090403338,0.6153846153846154,0.3829787234042553,0.5862649285458165
16,5,3,3,0.0001,128,128,0.6222222222222222,0.5108225108225108,0.9263456090651558,0.4590163934426229,0.3703703703703703,0.5777554211845765
16,5,3,2,0.0001,128,128,0.5660377358490566,0.5128205128205128,0.9114285714285716,0.4678362573099415,0.36,0.5636246154816165
64,5,3,3,0.001,128,128,0.5798319327731093,0.5,0.9197080291970804,0.5027932960893855,0.3111111111111111,0.5626888738341373
16,4,3,2,0.0001,128,128,0.5555555555555556,0.5021645021645021,0.9132290184921764,0.3790849673202614,0.392156862745098,0.5484381812555188
64,4,3,2,0.001,128,128,0.592274678111588,0.4803493449781659,0.9252873563218392,0.3714285714285714,0.3265306122448979,0.5391741126170124
64,5,3,2,0.0001,128,128,0.5492227979274611,0.5783132530120482,0.9142857142857144,0.304,0.3404255319148936,0.5372494594280234
16,4,7,3,0.0001,128,128,0.5929203539823009,0.3981042654028436,0.9280868385345996,0.4093567251461988,0.3555555555555555,0.5368047477242998
16,4,3,3,0.0001,128,128,0.59375,0.5163934426229508,0.9204545454545454,0.2962962962962963,0.2978723404255319,0.5249533249598649
64,5,3,3,0.0001,128,128,0.5377358490566038,0.5551020408163265,0.9140401146131804,0.1946902654867256,0.4,0.5203136539945672
16,4,3,3,0.001,128,128,0.5576923076923077,0.4465116279069767,0.927891156462585,0.2900763358778626,0.3636363636363636,0.5171615583152191
64,5,3,2,0.001,128,128,0.5876288659793815,0.5365853658536586,0.923943661971831,0.4084507042253521,0.0526315789473684,0.5018480353955184
16,4,3,3,0.0001,128,128,0.5161290322580645,0.4272727272727272,0.926027397260274,0.3259259259259259,0.3043478260869565,0.4999405817607896
16,4,7,2,0.0001,128,128,0.5816733067729084,0.4957983193277311,0.9116809116809116,0.2295081967213114,0.2727272727272727,0.498277601446027
16,5,7,2,0.0001,128,128,0.5692883895131086,0.5065502183406113,0.9170182841068916,0.1769911504424778,0.2727272727272727,0.4885150630260725
16,4,3,2,0.0001,128,128,0.4842105263157895,0.4,0.9249658935879944,0.2647058823529412,0.3673469387755102,0.488245848206447
64,4,3,3,0.0001,128,128,0.4705882352941176,0.4851063829787234,0.9192200557103064,0.2166666666666666,0.3265306122448979,0.4836223905789424
64,4,3,2,0.0001,128,128,0.4780487804878048,0.4830508474576271,0.9159663865546218,0.2051282051282051,0.2553191489361702,0.4675026737128858
