,precision,recall,f1-score,support
goalpost,0.81,0.82,0.81,119
ball,0.87,0.8,0.83,162
robot,0.94,0.96,0.95,348
goalspot,0.8,0.72,0.76,96
centerspot,0.6,0.68,0.63,37
micro avg,0.87,0.86,0.86,762
macro avg,0.8,0.79,0.8,762
weighted avg,0.87,0.86,0.86,762
samples avg,0.89,0.89,0.87,762
