,precision,recall,f1-score,support
goalpost,0.82,0.71,0.76,119
ball,0.9,0.85,0.87,162
robot,0.97,0.93,0.95,348
goalspot,0.88,0.79,0.84,96
centerspot,0.69,0.54,0.61,37
micro avg,0.91,0.84,0.87,762
macro avg,0.85,0.76,0.8,762
weighted avg,0.9,0.84,0.87,762
samples avg,0.91,0.87,0.87,762
