,precision,recall,f1-score,support
goalpost,0.68,0.84,0.75,119
ball,0.79,0.72,0.75,162
robot,0.94,0.92,0.93,348
goalspot,0.64,0.7,0.67,96
centerspot,0.68,0.46,0.55,37
micro avg,0.81,0.81,0.81,762
macro avg,0.74,0.73,0.73,762
weighted avg,0.82,0.81,0.81,762
samples avg,0.82,0.84,0.8,762
