,precision,recall,f1-score,support
goalpost,0.78,0.76,0.77,119
ball,0.81,0.7,0.75,162
robot,0.93,0.97,0.95,348
goalspot,0.82,0.64,0.72,96
centerspot,0.62,0.78,0.69,37
micro avg,0.85,0.83,0.84,762
macro avg,0.79,0.77,0.77,762
weighted avg,0.85,0.83,0.84,762
samples avg,0.88,0.86,0.84,762
