,precision,recall,f1-score,support
goalpost,0.82,0.75,0.78,119
ball,0.88,0.84,0.86,162
robot,0.94,0.92,0.93,348
goalspot,0.8,0.72,0.76,96
centerspot,0.59,0.51,0.55,37
micro avg,0.88,0.83,0.85,762
macro avg,0.81,0.75,0.78,762
weighted avg,0.88,0.83,0.85,762
samples avg,0.9,0.86,0.86,762
