,precision,recall,f1-score,support
goalpost,0.62,0.84,0.72,119
ball,0.7,0.77,0.73,162
robot,0.93,0.86,0.9,348
goalspot,0.63,0.7,0.66,96
centerspot,0.71,0.46,0.56,37
micro avg,0.77,0.8,0.78,762
macro avg,0.72,0.73,0.71,762
weighted avg,0.79,0.8,0.79,762
samples avg,0.76,0.81,0.76,762
