,precision,recall,f1-score,support
goalpost,0.7,0.83,0.76,119
ball,0.77,0.75,0.76,162
robot,0.92,0.97,0.95,348
goalspot,0.77,0.73,0.75,96
centerspot,0.7,0.57,0.63,37
micro avg,0.82,0.85,0.84,762
macro avg,0.77,0.77,0.77,762
weighted avg,0.82,0.85,0.84,762
samples avg,0.85,0.88,0.84,762
