,precision,recall,f1-score,support
goalpost,0.79,0.81,0.8,119
ball,0.78,0.84,0.81,162
robot,0.95,0.92,0.93,348
goalspot,0.84,0.75,0.79,96
centerspot,0.6,0.7,0.65,37
micro avg,0.85,0.85,0.85,762
macro avg,0.79,0.8,0.8,762
weighted avg,0.86,0.85,0.85,762
samples avg,0.87,0.88,0.85,762
